gene_id	gene_name	DW-63-V01__RNA__S_S49	DW-63-V02__RNA__S_S50	DW-63-V04__RNA__S_S52	DW-63-V05__RNA__S_S53	DW-63-V07__RNA__S_S49	DW-63-V08__RNA__S_S50	DW-63-V09__RNA__S_S51	DW-63-V10__RNA__S_S52	DW-63-V13__RNA__S_S55	DW-63-V15__RNA__S_S57	DW-63-V17__RNA__S_S59	DW-63-V18__RNA__S_S60	DW-63-V19__RNA__S_S55	DW-63-V20__RNA__S_S56	DW-63-V21__RNA__S_S57	DW-63-V22__RNA__S_S58	DW-63-V24__RNA__S_S60	DW-63-V26__RNA__S_S62	DW-63-V27__RNA__S_S63	DW-63-V28__RNA__S_S64	DW-63-V29__RNA__S_S65	DW-63-V30__RNA__S_S66	DW-63-V31__RNA__S_S61	DW-63-V32__RNA__S_S62	DW-63-V34__RNA__S_S64	DW-63-V35__RNA__S_S65	DW-63-V36__RNA__S_S66	DW-63-V37__RNA__S_S67	DW-63-V38__RNA__S_S68	DW-63-V40__RNA__S_S70	DW-63-V41__RNA__S_S71	DW-63-V44__RNA__S_S68	DW-63-V45__RNA__S_S69	DW-63-V46__RNA__S_S70	DW-63-V47__RNA__S_S71	DW-63-V48__RNA__S_S72	DW-63-V49__RNA__S_S73	DW-63-V50__RNA__S_S74	DW-63-V51__RNA__S_S75	DW-63-V52__RNA__S_S76	DW-63-V54__RNA__S_S78	DW-63-V56__RNA__S_S74	DW-63-V57__RNA__S_S75	DW-63-V59__RNA__S_S77	DW-63-V60__RNA__S_S78	DW-63-V61__RNA__S_S79	DW-63-V63__RNA__S_S81	DW-63-V64__RNA__S_S82	DW-63-V65__RNA__S_S83	DW-63-V66__RNA__S_S84	DW-63-V67__RNA__S_S79	DW-63-V68__RNA__S_S80	DW-63-V69__RNA__S_S81	DW-63-V70__RNA__S_S82	DW-63-V72__RNA__S_S84	DW-63-V73__RNA__S_S85	DW-63-V75__RNA__S_S87	DW-63-V76__RNA__S_S88	DW-63-V77__RNA__S_S89	DW-63-V78__RNA__S_S90	DW-63-V80__RNA__S_S86	DW-63-V82__RNA__S_S88	DW-63-V83__RNA__S_S89	DW-63-V84__RNA__S_S90	DW-63-V85__RNA__S_S91	DW-63-V86__RNA__S_S92	DW-63-V87__RNA__S_S93	DW-63-V89__RNA__S_S95	DW-63-V90__RNA__S_S96	DW-63-V91__RNA__S_S91	DW-63-V92__RNA__S_S92	DW-63-V93__RNA__S_S93	DW-63-V95__RNA__S_S95
ENSG00000000003	TSPAN6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.56199869444024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000005	TNMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000419	DPM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.9851968151405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000457	SCYL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.13408443883896	0	0	0	0	0	0	0	0	0	0	0	0	20.4633372779642	0	0	0	0	0	0	0	0	0	0	4.00908902679867	0	0.60914520976293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000460	C1orf112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.7304533014193	0	0	0	0	0	0	0	0.679838743862725	0	0	0	0	0	0	0	0	0	0	0	0	2.99627258081894	0	0	0	0	0	0	0	0	0	0	3.97172683716741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000938	FGR	0	0	0	6.0293028907188	0	0	0	11.659411327643	0	0	0	0	0	0	0	85.1277233447063	0	0	0	0	0	0	0	0	0	13.2347339178198	0	0	30.579217593694	0	0	19.5501159083061	0	0	0	0	0	0	163.478167393825	0	6.2724131783669	0	0	12.3248340459173	0	0	0	0	0	0	0	294.068800606055	0	0	6.29741959363367	0	0	0	0	0	19.5414152789157	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000000971	CFH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141.917122309337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.85894929251381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001036	FUCA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.1088622277853	0	0	0	0	0	0	0	0	0	0	0	0	6.3244716067424	0	0	0	0	0	0	0	0	0	0	0	0	1.99530634002872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001084	GCLC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.1475639832169	0	0	0	0	0	0	0	0	0	0.694800358905102	0	0	11.0944250257506	0	0	0	0	0	0	0	0	0	0	0	0	6.41136519833234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001167	NFYA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15.6294119062782	0	0	0	0	0	0	0	0	0	4.10397379547256	0	0	0	0	0	0	0	0	0	0	0	0	3.75143032011762	0	0	0	0	0	0	0	0	0	0	0	0	5.82391240570059	0	0	0	3.41449545792502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001460	STPG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.3078701062267	0	0	0	0	0	0	0	0	0	0	0	0	4.01342591720859	0	7.92653416952356	0	0	0	0	0	0	0	0	0	0	0.970376787771028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001461	NIPAL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.9002109599916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.21124071733636	0	0.682420487646576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001497	LAS1L	0	0	0	1.33410593563596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.91618465802617	0	0	0	0	0	0	0	0	0	0	0	0	4.97130163217871	0	7.07786988353682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000001561	ENPP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.936350697541098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.87233678520961	0	0	0	0	0	0	0	0
