gene_id	transcript_id(s)	DW-63-V02	DW-63-V04	DW-63-V13	DW-63-V15	DW-63-V17	DW-63-V18
A1BG	NM_130786.3	0.00	0.00	0.00	0.00	0.00	0.00
A1BG-AS1	rna78507	0.00	0.00	0.00	0.00	0.00	0.00
A1CF	NM_001198818.1,NM_001198819.1,NM_001198820.1,NM_014576.3,NM_138932.2,NM_138933.2,XM_005269718.1,XM_005269719.1,XM_005269720.1,XM_006717808.1,XM_006717809.1	0.00	0.00	0.00	0.00	0.00	0.00
A2M	NM_000014.4,XM_006719056.1	0.00	0.00	0.00	0.00	0.00	0.00
A2M-AS1	rna51878	0.00	0.00	0.00	0.00	0.00	0.00
A2ML1	NM_001282424.1,NM_144670.4	0.00	0.00	0.00	0.00	0.00	0.00
A2MP1	rna51882	0.00	0.00	0.00	0.00	0.00	0.00
A3GALT2	NM_001080438.1	0.00	0.00	0.00	0.00	0.00	0.00
A4GALT	NM_017436.4,XM_005261643.1,XM_005261644.1,XM_005261646.2,XM_005261647.1,XM_005261648.1,XM_006724265.1,XM_006724266.1,XM_006724267.1	0.00	0.00	0.00	0.00	0.00	0.00
A4GNT	NM_016161.2	0.00	0.00	0.00	0.00	0.00	0.00
AA06	rna68578	0.00	0.00	0.00	0.00	0.00	0.00
AAAS	NM_001173466.1,NM_015665.5,XM_006719617.1,XM_006719618.1,XM_006719619.1	0.00	0.00	0.00	0.00	0.00	0.00
AACS	NM_023928.3,XM_005253609.1,XM_005253610.1,XM_005253611.1,rna55618	0.00	0.00	0.00	0.00	0.00	0.00
AACSP1	rna27035	0.00	0.00	0.00	0.00	0.00	0.00
AADAC	NM_001086.2,XM_005247103.2,XM_005247104.2	0.00	0.00	0.00	0.00	0.00	0.00
AADACL2	NM_207365.3	0.00	0.00	0.00	0.00	0.00	0.00
AADACL3	NM_001103169.1,NM_001103170.1,XM_006710337.1	0.00	0.00	0.00	0.00	0.00	0.00
AADACL4	NM_001013630.1,XM_006710608.1	0.00	0.00	0.00	0.00	0.00	0.00
AADAT	NM_001286682.1,NM_001286683.1,NM_016228.3,NM_182662.1,XM_006714231.1	0.00	0.00	0.00	0.00	0.00	0.00
AAED1	NM_153698.1,XM_005251783.2,XM_005251784.2	0.00	0.00	0.00	0.00	0.00	0.00
AAGAB	NM_001271885.1,NM_001271886.1,NM_024666.4,XM_005254664.1,XM_006720683.1	0.00	0.00	0.00	0.00	0.00	0.00
AAK1	NM_014911.3	0.00	0.00	0.00	0.00	0.00	0.00
AAMDC	NM_024684.2,XM_005273938.2	0.00	0.00	0.00	0.00	0.00	0.00
AAMP	NM_001087.3,XM_005246325.1	0.00	0.00	0.00	0.00	0.00	0.00
AANAT	NM_001088.2,NM_001166579.1	0.00	0.00	0.00	0.00	0.00	0.00
AAR2	NM_001271874.1,NM_015511.4,XM_005260385.2,XM_006723770.1	0.00	0.00	0.00	0.00	0.00	0.00
AARD	NM_001025357.2	0.00	0.00	0.00	0.00	0.00	0.00
AARS	NM_001605.2,XM_006721153.1	0.00	0.00	0.00	0.00	0.00	0.00
AARS2	NM_020745.3,XM_005249245.1,rna29468	0.00	0.00	0.00	0.00	0.00	0.00
AARSD1	NM_001261434.1	0.00	0.00	0.00	0.00	0.00	0.00
AASDH	NM_001286668.1,NM_001286669.1,NM_001286670.1,NM_001286671.1,NM_001286672.1,NM_181806.3,XM_005265721.1,XM_005265724.2,XM_005265726.2,XM_005265727.1	0.00	0.00	0.00	0.00	0.00	0.00
AASDHPPT	NM_015423.2	0.00	0.00	0.00	0.00	0.00	0.00
AASS	NM_005763.3,rna34620,rna34621	0.00	0.00	0.00	0.00	0.00	0.00
AATF	NM_012138.3	0.00	0.00	0.00	0.00	0.00	0.00
AATK	NM_001080395.2,NM_004920.2,XM_005257855.1,XM_006722193.1,XM_006722194.1,XM_006722195.1,XM_006722196.1,XM_006722197.1	0.00	0.00	0.00	0.00	0.00	0.00
AATK-AS1	rna71585	0.00	0.00	0.00	0.00	0.00	0.00
ABAT	NM_000663.4,NM_001127448.1,NM_020686.5,XM_005255154.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCA1	NM_005502.3,XM_005251773.1,XM_005251774.2,XM_005251776.1,XM_005251778.1,XM_005251780.2,XM_006716995.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCA10	NM_080282.3	0.00	0.00	0.00	0.00	0.00	0.00
ABCA11P	rna20078	0.00	0.00	0.00	0.00	0.00	0.00
ABCA12	NM_015657.3,NM_173076.2,rna13861	0.00	0.00	0.00	0.00	0.00	0.00
ABCA13	NM_152701.3	0.00	0.00	0.00	0.00	0.00	0.00
ABCA17P	rna63657	0.00	0.00	0.00	0.00	0.00	0.00
ABCA2	NM_001606.4,NM_212533.2,XM_006716996.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCA3	NM_001089.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCA4	NM_000350.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCA5	NM_018672.4,NM_172232.3	0.00	0.00	0.00	0.00	0.00	0.00
ABCA6	NM_080284.2,XM_006721790.1,XM_006721791.1,XM_006721792.1,XM_006721793.1,rna70843	0.00	0.00	0.00	0.00	0.00	0.00
ABCA7	NM_019112.3,XM_006722616.1,XM_006722617.1,XM_006722618.1,rna73373	0.00	0.00	0.00	0.00	0.00	0.00
ABCA8	NM_001288985.1,NM_001288986.1,NM_007168.3,XM_005256938.1,XM_005256940.2,rna70830	0.00	0.00	0.00	0.00	0.00	0.00
ABCA9	NM_080283.3,XM_005256934.2,XM_005256935.2,XM_005256936.2,XM_005256937.2,XM_006721633.1,XM_006721634.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCB1	NM_000927.4	0.00	0.00	0.00	0.00	0.00	0.00
ABCB10	NM_012089.2,XM_006711754.1,XM_006711755.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCB11	NM_003742.2,XM_006712817.1,XM_006712818.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCB4	NM_000443.3,NM_018849.2,NM_018850.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCB5	NM_001163941.1,NM_001163942.1,NM_001163993.2,NM_178559.5,XM_006715722.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCB6	NM_005689.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCB7	NM_001271696.1,NM_001271697.1,NM_001271698.1,NM_001271699.1,NM_004299.4	0.00	0.00	0.00	0.00	0.00	0.00
ABCB8	NM_001282291.1,NM_001282292.1,NM_001282293.1,NM_007188.4	0.00	0.00	0.00	0.00	0.00	0.00
ABCB9	NM_001243013.1,NM_001243014.1,NM_019624.3,NM_019625.3,NM_203444.3,XM_005253558.1,XM_005253559.1,XM_006719314.1,rna55477	0.00	0.00	0.00	0.00	0.00	0.00
ABCC1	NM_004996.3,XM_005255327.1,XM_005255328.1,XM_005255329.1,XM_006720884.1,XM_006720885.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCC10	NM_001198934.1,NM_033450.2,XM_005249470.1,XM_006715240.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCC11	NM_032583.3,NM_033151.3,NM_145186.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCC12	NM_033226.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCC13	rna80997,rna80998	0.00	0.00	0.00	0.00	0.00	0.00
ABCC2	NM_000392.3,XM_006717630.1,XM_006717631.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCC3	NM_001144070.1,NM_003786.3,XM_005257763.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCC4	NM_001105515.1,NM_005845.3,XM_005254025.1,XM_006719914.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCC5	NM_001023587.1,NM_005688.2,XM_005247058.2,XM_005247059.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCC5-AS1	rna19542	0.00	0.00	0.00	0.00	0.00	0.00
ABCC6	NM_001079528.3,NM_001171.5	0.00	0.00	0.00	0.00	0.00	0.00
ABCC6P1	rna64358	0.00	0.00	0.00	0.00	0.00	0.00
ABCC6P2	rna64232	0.00	0.00	0.00	0.00	0.00	0.00
ABCC8	NM_000352.4,NM_001287174.1,XM_006718286.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCC9	NM_005691.3,NM_020297.3,XM_005253284.2,XM_005253286.2,XM_005253287.2,XM_005253288.2,XM_005253289.2,XM_005253290.2,XM_005253291.2,XM_006719025.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCD1	NM_000033.3	0.00	0.00	0.00	0.00	0.00	0.00
ABCD2	NM_005164.3	0.00	0.00	0.00	0.00	0.00	0.00
ABCD3	NM_001122674.1,NM_002858.3,XM_005271088.1,XM_005271089.1,XM_006710802.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCD4	NM_005050.3,XM_005267936.2,XM_005267938.2,XM_005267939.2,XM_005267940.2,XM_005267941.2,XM_005267942.2,XM_005267946.2,XM_005267949.2,XM_005267951.2,XM_005267952.2,XM_005267953.2,XM_005267954.2,XM_006720223.1,rna59104,rna59106	0.00	0.00	0.00	0.00	0.00	0.00
ABCE1	NM_001040876.1,NM_002940.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCF1	NM_001025091.1,NM_001090.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCF2	NM_005692.4,NM_007189.2,XM_005249931.2,XM_006715824.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCF3	NM_018358.2	0.00	0.00	0.00	0.00	0.00	0.00
ABCG1	NM_004915.3,NM_016818.2,NM_207174.1,NM_207627.1,NM_207628.1,NM_207629.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCG2	NM_001257386.1,NM_004827.2,XM_005263354.1,XM_005263355.1,XM_005263356.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCG4	NM_001142505.1,NM_022169.4	0.00	0.00	0.00	0.00	0.00	0.00
ABCG5	NM_022436.2,XM_005264480.1,XM_005264481.1,XM_006712073.1,XM_006712074.1	0.00	0.00	0.00	0.00	0.00	0.00
ABCG8	NM_022437.2,XM_005264483.1,XM_006712075.1	0.00	0.00	0.00	0.00	0.00	0.00
ABHD1	NM_032604.3,rna9477,rna9478,rna9479	0.00	0.00	0.00	0.00	0.00	0.00
ABHD10	NM_001272069.1,NM_018394.3,rna17830,rna17831	0.00	0.00	0.00	0.00	0.00	0.00
ABHD11	NM_001145364.1,NM_148912.2,NM_148913.2,XM_006716143.1,XM_006716144.1,XM_006716145.1,rna33295,rna33297,rna33300	0.00	0.00	0.00	0.00	0.00	0.00
ABHD12	NM_001042472.2,NM_015600.4,XM_005260698.1,XM_005260699.2,XM_005260700.1	0.00	0.00	0.00	0.00	0.00	0.00
ABHD12B	NM_001206673.1,NM_181814.1,XM_005267356.1,XM_005267357.1,XM_006720052.1	0.00	0.00	0.00	0.00	0.00	0.00
ABHD13	NM_032859.2	0.00	0.00	0.00	0.00	0.00	0.00
ABHD14A	NM_015407.4	0.00	0.00	0.00	0.00	0.00	0.00
ABHD14A-ACY1	rna16873	0.00	0.00	0.00	0.00	0.00	0.00
ABHD14B	NM_001146314.1,NM_001254753.1,NM_032750.2	0.00	0.00	0.00	0.00	0.00	0.00
ABHD15	NM_198147.2	0.00	0.00	0.00	0.00	0.00	0.00
ABHD16A	NM_001177515.1,NM_021160.2,rna28501,rna28504	0.00	0.00	0.00	0.00	0.00	0.00
ABHD16B	NM_080622.3	0.00	0.00	0.00	0.00	0.00	0.00
ABHD17A	NM_001130111.1,NM_031213.3,XM_006722918.1	0.00	0.00	0.00	0.00	0.00	0.00
ABHD17B	NM_001025780.1,NM_016014.2,XM_006717134.1,XM_006717135.1	0.00	0.00	0.00	0.00	0.00	0.00
ABHD17C	NM_021214.1	0.00	0.00	0.00	0.00	0.00	0.00
ABHD2	NM_007011.7,NM_152924.4,XM_005254832.1,XM_005254833.1	0.00	0.00	0.00	0.00	0.00	0.00
ABHD3	NM_138340.4,rna72234,rna72235	0.00	0.00	0.00	0.00	0.00	0.00
ABHD4	NM_022060.2,XM_005267986.2,rna57694	0.00	0.00	0.00	0.00	0.00	0.00
ABHD5	NM_016006.4	0.00	0.00	0.00	0.00	0.00	0.00
ABHD6	NM_020676.5,XM_005265334.2,XM_005265335.2,XM_005265336.2	0.00	0.00	0.00	0.00	0.00	0.00
ABHD8	NM_024527.4	0.00	0.00	0.00	0.00	0.00	0.00
ABI1	NM_001012750.2,NM_001012751.2,NM_001012752.2,NM_001178116.1,NM_001178119.1,NM_001178120.1,NM_001178121.1,NM_001178122.1,NM_001178123.1,NM_001178124.1,NM_001178125.1,NM_005470.3,XM_005252332.2,XM_005252333.2,XM_006717359.1,XM_006717360.1,XM_006717361.1	0.00	0.00	0.00	0.00	0.00	0.00
ABI2	NM_001282925.1,NM_001282926.1,NM_001282927.1,NM_001282932.1,NM_005759.5,XM_005246217.1,XM_005246218.1,XM_005246221.1,XM_005246222.1,XM_005246223.1,XM_005246224.1,XM_005246225.1,XM_005246226.1,XM_005246229.1,XM_006712174.1,XM_006712175.1,XM_006712176.1,XM_006712177.1,XM_006712178.1,XM_006712179.1,XM_006712180.1,XM_006712181.1,XM_006712182.1,XM_006712183.1,XM_006712184.1,XM_006712185.1,XM_006712186.1	0.00	0.00	0.00	0.00	0.00	0.00
ABI3	NM_001135186.1,NM_016428.2,XM_005257429.2	0.00	0.00	0.00	0.00	0.00	0.00
ABI3BP	NM_015429.3,XM_005247281.1,XM_005247282.1,XM_005247283.1,XM_005247284.1,XM_005247285.1,XM_005247286.1,XM_005247287.1,XM_005247288.1,XM_005247289.1,XM_005247290.1,XM_005247291.1,XM_005247293.1,XM_005247294.1,XM_005247295.1,XM_005247296.1,XM_005247297.1,XM_005247298.1,XM_005247299.1,XM_005247300.1,XM_005247301.1,XM_005247302.1,XM_005247303.1,XM_005247305.1,XM_005247306.1,XM_005247307.1,XM_005247308.1,XM_005247309.1,XM_005247310.1,XM_005247311.1,XM_005247312.1,XM_005247313.1,XM_005247314.1,XM_005247315.1,XM_005247316.1,XM_005247317.1,XM_005247318.1,XM_006713568.1,XM_006713569.1,XM_006713570.1,XM_006713571.1,XM_006713572.1,XM_006713573.1,XM_006713574.1,XM_006713575.1,XM_006713576.1	1264.81	0.00	0.00	0.00	0.00	0.00
ABL1	NM_005157.4,NM_007313.2	0.00	0.00	0.00	0.00	0.00	0.00
ABL2	NM_001136000.2,NM_001136001.1,NM_001168236.1,NM_001168237.1,NM_001168238.1,NM_001168239.1,NM_005158.4,NM_007314.3,XM_005245088.1	0.00	0.00	0.00	0.00	0.00	0.00
ABLIM1	NM_001003407.1,NM_001003408.1,NM_002313.5,NM_006720.3,XM_005269818.1,XM_005269819.1,XM_005269820.1,XM_005269821.1,XM_005269822.1,XM_005269823.1,XM_005269824.1,XM_005269825.1,XM_005269826.1,XM_005269827.2,XM_005269828.2,XM_005269830.2,XM_006717837.1,XM_006717838.1,XM_006717839.1,XM_006717840.1,XM_006717841.1,XM_006717842.1,XM_006717843.1,XM_006717844.1,XM_006717845.1,XM_006717846.1,XM_006717847.1,XM_006717848.1	0.00	0.00	0.00	4439.79	0.00	0.00
ABLIM2	NM_001130083.1,NM_001130084.1,NM_001130085.1,NM_001130086.1,NM_001130087.1,NM_001130088.1,NM_001286688.1,NM_032432.4,XM_005248014.2,XM_005248015.1,XM_005248016.2,XM_005248017.2,XM_005248018.2,XM_005248019.2,XM_005248020.2,XM_005248021.2,XM_005248022.2,XM_005248023.2,XM_005248024.2,XM_005248025.2,XM_005248026.2,XM_005248027.2,XM_005248028.2,XM_005248029.2,XM_005248030.2,XM_005248031.2,XM_006713921.1,XM_006713922.1,XM_006713923.1,XM_006713924.1,XM_006713925.1,XM_006713926.1,XM_006713927.1	0.00	0.00	0.00	0.00	0.00	0.00
ABLIM3	NM_014945.2,XM_005268392.1,XM_005268393.1,XM_005268394.1,XM_005268395.1,XM_005268396.1,XM_006714763.1,XM_006714764.1	0.00	0.00	0.00	0.00	0.00	0.00
