tx	gene_id	DW-63-V02__RNA__S_S50	DW-63-V04__RNA__S_S52	DW-63-V13__RNA__S_S55	DW-63-V15__RNA__S_S57	DW-63-V17__RNA__S_S59	DW-63-V18__RNA__S_S60	DW-63-V26__RNA__S_S62	DW-63-V27__RNA__S_S63	DW-63-V29__RNA__S_S65	DW-63-V30__RNA__S_S66	DW-63-V37__RNA__S_S67	DW-63-V40__RNA__S_S70	DW-63-V41__RNA__S_S71	DW-63-V50__RNA__S_S74	DW-63-V52__RNA__S_S76	DW-63-V61__RNA__S_S79	DW-63-V63__RNA__S_S81	DW-63-V66__RNA__S_S84	DW-63-V76__RNA__S_S88	DW-63-V78__RNA__S_S90	DW-63-V85__RNA__S_S91	DW-63-V89__RNA__S_S95
rna0	DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna1	WASH7P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna3	MIR6859-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna2	MIR6859-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna4	MIR6859-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna5	MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna6	MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna7	FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005484.1	OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna9	LOC101927589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
rna10	LOC729737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
rna14	LOC100996442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna13	LOC100996442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna11	LOC100996442	0	0	0	0	1.326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna12	LOC100996442	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna16	LOC100996442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna15	LOC100996442	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna17	LOC100996442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna18	LOC100996442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna19	LOC100996442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna20	LOC100996442	0	0	0	0	1.553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna21	LOC102723897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
rna22	LOC102723917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna23	LOC102723917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna24	LOC101929192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_001005221.2	OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.298	0	0	0	0
rna26	RP4-669L17.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
rna31	LOC100134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna30	LOC100134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna29	LOC100134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna28	LOC100134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna27	LOC100134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna33	LOC100134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna32	LOC100134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
rna34	LOC100134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rna35	LOC100134822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
